"Bahamas, The",BHS,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938,1788,,,,,,1633,,,,,848,61,265,,60,167,,,,,,,
Bosnia and Herzegovina,BIH,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44719,,,,,,,,,,,,,,13993,14605,15355,10011,10626,10616,6647,
Belize,BLZ,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,794,1326,,1127,822,1075,874,928,901,710,432,688,45,314,348,287,
Bermuda,BMU,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,591,644,,,,,182,139,,,,,,,,,,,,,,,,,,,,,,,,,,277,438,,,,
Bolivia,BOL,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33043,31467,26628,24288,23102,18786,18716,19177,19566,21857,34260,14980,31081,46223,70518,42721,77790,73454,
Brazil,BRA,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450481,188412,,428212,138568,158529,,281299,145720,455495,347245,326234,
Barbados,BRB,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,2735,2407,2035,,,283,,,,,742,1061,1005,,,,,,24,409,,1332,,,,,,,369,530,664,979,1017,1182,1114,914,482,323,589,457,661,,,827,,
Brunei Darussalam,BRN,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,1328,1237,2461,2479,2866,3174,3123,3192,,3088,,,,,1615,1100,420,423,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,25596,25840,,,,,,,,,,,,,,,,,,,26060,25473,23577,21493,,,,13972,11735,,8468,6051,4888,4575,3865,4698,4779,,
Botswana,BWA,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,36469,39363,38965,38392,35917,31030,27805,24695,24608,23833,20399,16139,,14039,14812,13784,14199,13954,13735,14039,14769,12240,14232,16143,17115,31680,31466,,26728,27515,25106,22026,21403,20839,21822,21115,20209,21442,22319,21870,,,12938,12395,,,
Central African Republic,CAF,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,90397,90078,89067,,,,100326,103660,,,105065,106761,111449,,,106177,128412,135555,138755,126425,136931,,,,,,,,,,,,,,188860,192417,173812,147180,148105,140959,146099,134223,,,,
Canada,CAN,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,47968,52708,59343,59482,55230,55518,55731,60184,48183,26412,29605,53057,64467,74314,64156,,18194,1756,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245951,145723,160857,151981,140935,133166,125575,125978,129705,124349,101154,87772,80595,73028,81481,87209,99899,103167,,
Switzerland,CHE,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,69303,66891,,,59507,57550,55862,54914,53557,51325,47409,42856,38480,34802,33262,33773,35689,38098,26407,21905,,,749,745,600,539,464,1901,3980,4987,4636,2758,1688,1561,1047,869,251,278,324,
Channel Islands,CHI,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22288,26066,41823,37444,47251,50674,54306,50233,40830,
China,CHN,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,4763277,,,,,2681039,3268134,4124560,5086910,5919119,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,345239,,,,,,,,,,,,,,,,,,,625877,631666,,638568,673455,633375,659570,694269,,,,,,786424,,,,561054,514940,452408,
Cameroon,CMR,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,234976,243498,261598,276300,252653,250155,264624,267067,268638,274963,,,,,,,,298007,,327905,356664,,,,,,,,,,,,,,,,,,,,304674,198007,,184714,174235,
"Congo, Dem. Rep.",COD,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,731655,768728,,,763998,,,,814304,,,,812382,804815,,,,1133487,,,1346284,1440440,1534397,1604971,1566429,,,,2557352,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,24581,,18654,,13703,,7987,7541,17574,19580,19056,18280,17576,,,,,,,,,,,,,,,,,,,,,111115,125718,,,,38435,,10671,,,,
Colombia,COL,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,642288,,,,,564809,,,,,,,,64407,52356,132293,128008,,48946,47060,67536,75973,72498,64061,59277,55319,113260,134714,147281,126609,
Comoros,COM,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,10599,,,,,,,15045,,,,,19816,17292,,,,,,,12303,,,,,,9563,11535,,
Cabo Verde,CPV,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,2977,3417,4246,2287,1605,1191,696,,,,,,,,,,,,,737,1733,1786,2043,2496,2657,2774,2779,2710,2246,1479,978,448,347,463,776,
Costa Rica,CRI,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,20508,,17861,17024,,16418,13721,,16730,18620,17857,16751,19146,,,24978,23473,23834,,24709,25063,24234,,,,,,,,,,,,,,,,,,,,940,825,2761,7641,7417,
Caribbean small states,CSS,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,27767,28099,27350,29483,23618,33880,38000,27259,25905,25585,32175,30407,26263,24325,25875,26596,25647,20370,19814,11999,18807,27703,29311,32708,31856,30386,29052,29674,26400,26218,26143,29954,32315,33033,26296,26495,28304,27589,24265,27118,24558,23859,24699,26764,,,
Cuba,CUB,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,42743,35862,30705,,,,,13368,20642,32556,38627,37942,41517,50241,45086,34896,34932,32953,32484,34488,24438,21698,11741,12255,5197,6872,7638,7169,10473,13643,13565,21919,22791,21648,19102,11948,7689,,13,4183,10189,12925,24094,28246,
Curacao,CUW,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,7790,8085,7978,8189,10244,10938,11028,10567,10066,10114,9116,10048,10169,10188,9955,8517,7309,7058,7228,7572,7733,8672,715,1003,1217,1296,1138,,773,511,697,386,369,403,75,138,209,358,298,140,198,436,544,572,485,
Czech Republic,CZE,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,27422,28564,30685,32584,34091,34889,,35869,37507,38583,39981,42330,44815,,47393,47064,45237,43937,,40461,38565,35922,32728,24566,24568,,20855,,21527,18734,21582,
Dominica,DMA,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,502,424,,743,950,778,780,,,,,,,,,,,,,,,,,,,,,,10,137,182,466,432,48,,,,,,,
Denmark,DNK,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,9621,7756,3857,2154,1895,2629,1867,1504,3629,3691,2771,4319,5050,2217,2429,3043,,,3057,2391,,,,2190,6353,5399,4215,4533,4714,5153,3733,2850,2228,2945,2626,
Dominican Republic,DOM,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90493,86168,,68228,89691,99196,89374,94268,62364,83882,54759,63031,60551,71430,77067,90684,72437,
Algeria,DZA,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,589807,559643,538301,517774,498428,487011,490898,485119,491048,507138,526871,522045,523184,506303,487538,472496,455074,448068,411661,384899,388898,381226,370065,369571,372087,,278997,250964,198374,161366,142680,121260,110495,102663,92175,63036,,,,,,,,
