neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Ciudad Lineal,Pueblo Nuevo,40.4281215790077,-3.64331406199344,Private room,28,1,12,0.38,1,180
Centro,Sol,40.416786169259794,-3.70183530233815,Entire home/apt,85,4,33,2.72,1,318
Centro,Palacio,40.40857873699429,-3.71141287646093,Entire home/apt,70,3,2,2.0,1,304
Centro,Universidad,40.4262293821465,-3.7019409719691896,Entire home/apt,65,2,28,3.01,3,136
Centro,Universidad,40.4249599907498,-3.7056018823697996,Entire home/apt,48,3,80,5.33,1,97
Salamanca,Goya,40.42340036302279,-3.67656327743451,Private room,25,1,0,0.0,1,328
Centro,Sol,40.41485865476471,-3.70445904801403,Entire home/apt,70,3,8,2.07,15,41
Usera,San Fermín,40.3677598645546,-3.69242335533858,Private room,25,2,34,1.87,2,115
Salamanca,Recoletos,40.4228758651357,-3.68417462578071,Entire home/apt,90,2,0,0.0,1,348
Ciudad Lineal,Pueblo Nuevo,40.4278863678084,-3.6328230713139,Private room,29,1,4,0.2,3,306
Centro,Sol,40.415793514331604,-3.7056644993387597,Entire home/apt,89,3,36,2.34,1,77
Centro,Universidad,40.4274734774352,-3.70406819041223,Entire home/apt,60,2,22,1.85,1,74
Centro,Embajadores,40.4122323520491,-3.7056879955014597,Private room,20,10,0,0.0,97,281
Hortaleza,Pinar del Rey,40.4684672179726,-3.6529630113583798,Private room,25,2,4,3.43,4,193
Chamartín,Hispanoamérica,40.458217725893604,-3.6704912610357003,Entire home/apt,300,4,0,0.0,1,154
Moncloa - Aravaca,Argüelles,40.4279406280299,-3.7203908222002595,Private room,35,30,1,0.06,1,365
Centro,Cortes,40.414988478444705,-3.70211145290167,Entire home/apt,70,3,21,0.69,1,207
Moncloa - Aravaca,Casa de Campo,40.4218613755534,-3.7203575846954102,Entire home/apt,65,1,55,5.03,5,260
Salamanca,Guindalera,40.438792746662,-3.6712219536477,Private room,37,1,10,1.45,1,127
Centro,Embajadores,40.410702817359706,-3.70464994759991,Entire home/apt,84,7,0,0.0,1,194
Salamanca,Castellana,40.437052588335206,-3.6818731118248396,Entire home/apt,57,4,32,1.89,1,222
Salamanca,Recoletos,40.42533195746589,-3.68648124072626,Entire home/apt,310,30,1,0.35,39,364
Ciudad Lineal,Concepción,40.4450992856535,-3.6426557287995,Private room,20,10,1,0.75,1,0
Chamberí,Rios Rosas,40.441250937663796,-3.69769864119529,Private room,1000,1,0,0.0,1,364
Centro,Palacio,40.4128667145989,-3.71278435133879,Private room,30,2,22,2.82,3,314
Latina,Puerta del Angel,40.4086890817105,-3.7321142130767,Entire home/apt,43,2,49,1.3,5,38
Centro,Embajadores,40.409421902055996,-3.69395665869206,Entire home/apt,65,1,16,0.68,1,319
Centro,Cortes,40.4148926830182,-3.7020452599732594,Entire home/apt,70,2,0,0.0,145,336
Centro,Palacio,40.4118904395195,-3.71333884642687,Entire home/apt,180,2,0,0.0,1,0
Centro,Embajadores,40.4088492105319,-3.6968756241180896,Private room,25,2,3,0.15,1,337
Centro,Justicia,40.4202486388185,-3.6992801357872005,Entire home/apt,60,2,5,5.0,1,151
Retiro,Niño Jesús,40.4154651694037,-3.67587440171095,Private room,30,1,1,0.18,2,353
Centro,Sol,40.4160520534573,-3.7083871417936702,Entire home/apt,180,3,6,2.37,3,313
Arganzuela,Chopera,40.393836318515206,-3.6964173381482404,Shared room,23,2,0,0.0,3,342
Centro,Cortes,40.4120952054358,-3.6972917963119305,Entire home/apt,130,5,0,0.0,4,279
Centro,Sol,40.4144608627754,-3.70555451867793,Entire home/apt,53,2,27,3.39,4,306
Centro,Universidad,40.4248195785843,-3.71105726708345,Entire home/apt,50,1,95,3.01,46,318
Tetuán,Bellas Vistas,40.4480200873582,-3.7067903739509,Entire home/apt,30,1,3,0.32,44,292
Centro,Palacio,40.4106791789885,-3.7105913135394597,Entire home/apt,155,2,21,3.0,1,291
Chamberí,Almagro,40.4373438320873,-3.69384189653239,Entire home/apt,99,5,19,1.56,1,68
Latina,Lucero,40.4048469159527,-3.7531945005104204,Private room,22,1,1,0.16,1,342
Salamanca,Goya,40.42272681635821,-3.6754916138138505,Private room,33,1,26,4.76,3,117
Centro,Embajadores,40.4107598426855,-3.70159534975537,Private room,32,1,8,0.59,1,339
Centro,Palacio,40.420185689591705,-3.71358775843278,Entire home/apt,80,2,15,1.11,2,120
Centro,Justicia,40.4248382166366,-3.6917091492482697,Entire home/apt,120,2,2,0.23,1,295
Centro,Palacio,40.4199312021724,-3.71249372629722,Private room,20,1,156,6.92,4,300
Centro,Cortes,40.413991712816795,-3.69887239157118,Entire home/apt,50,4,42,2.93,1,104
Centro,Palacio,40.412040642367394,-3.70901901448344,Entire home/apt,60,5,9,0.16,11,319
Carabanchel,Opañel,40.3945794599991,-3.7209824142718197,Entire home/apt,37,2,11,3.4,1,124
Retiro,Pacífico,40.4058094259265,-3.6735624289232796,Entire home/apt,40,4,5,0.25,1,0
Tetuán,Valdeacederas,40.466711592397104,-3.69802270323228,Private room,30,1,0,0.0,1,179
Ciudad Lineal,Concepción,40.433572928222105,-3.65871298990371,Private room,25,2,5,0.29,2,0
Centro,Embajadores,40.4095060251778,-3.7088498538460497,Entire home/apt,39,1,101,4.76,9,60
