neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Centro,Embajadores,40.407968030023206,-3.69977782295483,Entire home/apt,55,5,0,0.0,1,20
Salamanca,Castellana,40.4318646013176,-3.6851471053330296,Entire home/apt,140,7,0,0.0,4,365
Centro,Universidad,40.4238370087847,-3.70686036664152,Private room,40,1,33,0.49,3,357
Centro,Cortes,40.4147587255725,-3.69531292688788,Entire home/apt,130,5,91,1.35,1,314
Moncloa - Aravaca,Argüelles,40.4297329589886,-3.72117588526187,Private room,30,15,4,0.07,4,342
Centro,Embajadores,40.412729409852794,-3.7032392069314506,Private room,30,7,19,0.3,1,250
Carabanchel,Puerta Bonita,40.3798739493941,-3.73215111566321,Entire home/apt,85,2,86,1.29,1,326
Hortaleza,Canillas,40.4585644621267,-3.6481108128586204,Private room,40,2,44,0.66,1,317
Centro,Cortes,40.4126722801222,-3.6992168888748904,Entire home/apt,70,2,0,0.0,1,179
Centro,Cortes,40.41365683011271,-3.6978366216411,Entire home/apt,76,2,41,0.69,12,338
Centro,Sol,40.4160136168588,-3.7085287827347098,Entire home/apt,145,3,126,1.92,12,291
Centro,Universidad,40.4234830806083,-3.70335841746534,Private room,25,1,80,1.2,3,171
Centro,Embajadores,40.411302789474504,-3.7078427195745,Entire home/apt,95,3,35,0.58,6,312
Centro,Cortes,40.4151753671989,-3.69979595233271,Private room,27,2,110,1.72,1,311
Chamberí,Arapiles,40.4342307677774,-3.70703093769611,Private room,25,4,25,0.46,1,281
Chamartín,El Viso,40.4473388192566,-3.68951988508053,Entire home/apt,75,2,61,1.05,1,323
Carabanchel,San Isidro,40.393764462804704,-3.7248273539457597,Private room,25,4,66,0.99,3,119
Carabanchel,San Isidro,40.3938886147964,-3.72331389222588,Entire home/apt,45,4,15,0.22,3,164
Tetuán,Cuatro Caminos,40.4502103347447,-3.6991016951896696,Entire home/apt,46,3,8,0.16,1,96
Centro,Sol,40.415232176378495,-3.70649968154602,Entire home/apt,76,2,88,1.43,12,334
Centro,Justicia,40.4202403769828,-3.69746751758178,Entire home/apt,65,3,69,1.05,11,308
Centro,Universidad,40.4258601390865,-3.71049062040994,Entire home/apt,40,3,86,1.48,4,224
Centro,Embajadores,40.4081407358023,-3.70171137063654,Entire home/apt,56,3,25,0.4,1,280
Hortaleza,Valdefuentes,40.4708765276869,-3.6286567190649106,Entire home/apt,120,2,66,1.1,4,333
Tetuán,Berruguete,40.4550946901776,-3.70286299640363,Private room,24,1,29,0.44,1,365
Centro,Embajadores,40.4123576237728,-3.70283811808321,Entire home/apt,72,3,42,0.66,1,96
Centro,Embajadores,40.408982046718705,-3.7092047346779298,Entire home/apt,70,3,152,2.38,7,103
Centro,Universidad,40.4241870107679,-3.7083477028015697,Entire home/apt,110,5,5,0.11,28,92
Centro,Palacio,40.420415411085,-3.7099148636568797,Private room,30,1,139,2.24,2,271
Centro,Cortes,40.413650225306604,-3.70071767299977,Entire home/apt,59,3,6,0.13,8,271
Centro,Cortes,40.4145407036696,-3.7012119216222104,Entire home/apt,59,3,14,0.23,8,272
Salamanca,Recoletos,40.42687608604621,-3.6851997539778103,Entire home/apt,198,2,35,0.59,1,327
Centro,Sol,40.417900294039,-3.7081932629922796,Entire home/apt,90,2,3,0.15,1,29
Centro,Justicia,40.4254009783188,-3.69661655421883,Entire home/apt,113,3,23,0.39,11,289
Centro,Universidad,40.425552570415,-3.71086685292627,Private room,30,1,11,0.18,2,0
Centro,Cortes,40.417599383819706,-3.69807760208199,Private room,34,1,132,3.02,14,343
Latina,Puerta del Angel,40.41136055592779,-3.72456390716516,Private room,20,2,31,0.51,9,345
Moncloa - Aravaca,Argüelles,40.425032133397295,-3.7135993429542404,Entire home/apt,75,4,16,0.44,51,304
Centro,Embajadores,40.4088537300506,-3.69856816833961,Entire home/apt,50,5,39,0.69,2,169
Chamberí,Gaztambide,40.4356731844671,-3.71638525456368,Entire home/apt,45,2,94,1.53,9,339
Centro,Justicia,40.4220273035268,-3.6989805140403598,Private room,25,4,24,0.38,3,355
Centro,Sol,40.414886064788604,-3.70738313762075,Entire home/apt,80,3,30,0.72,9,324
Hortaleza,Canillas,40.4636692753799,-3.6484989593651598,Private room,48,1,48,0.76,1,259
Centro,Justicia,40.4283317119797,-3.700752495338,Private room,45,3,137,2.22,1,0
Centro,Embajadores,40.4077940083854,-3.69613884081884,Entire home/apt,65,3,39,0.7,1,258
Chamberí,Trafalgar,40.4285782363647,-3.6985848615661503,Entire home/apt,210,5,13,0.24,28,64
Centro,Universidad,40.425786589291796,-3.7052620167105697,Entire home/apt,138,3,132,2.15,1,327
Latina,Aluche,40.3938226910659,-3.75871194905658,Entire home/apt,80,5,8,0.13,1,217
Centro,Embajadores,40.408624149198204,-3.7076488354833903,Entire home/apt,75,2,114,1.8,1,143
Centro,Embajadores,40.411204380882,-3.70741471887175,Entire home/apt,95,2,20,0.51,40,268
Carabanchel,Vista Alegre,40.3880817803255,-3.73455644371044,Private room,35,2,1,0.04,1,365
Centro,Cortes,40.4143299097119,-3.7012335767724402,Entire home/apt,59,3,21,0.37,8,265
Centro,Embajadores,40.4105903586131,-3.7033965605712402,Entire home/apt,75,3,109,1.9,1,268
Centro,Cortes,40.4139303828412,-3.6978982183925004,Private room,20,2,103,1.74,2,314
Centro,Justicia,40.422949401090605,-3.6955197518483103,Entire home/apt,63,5,30,0.49,1,309
Centro,Sol,40.4145232831403,-3.70774267152654,Private room,55,2,100,1.67,2,199
Retiro,Pacífico,40.406497589222205,-3.67233236016253,Private room,22,1,93,1.66,9,143
Chamartín,Ciudad Jardín,40.4485917218036,-3.67746477226502,Private room,35,2,6,0.11,1,281
Salamanca,Castellana,40.4363677148882,-3.68521766283903,Private room,49,2,19,0.31,1,352
Centro,Universidad,40.4283609114233,-3.70560039644709,Entire home/apt,64,3,123,2.02,2,281
Centro,Cortes,40.4128101482254,-3.69559601223769,Entire home/apt,80,3,115,1.9,2,225
Tetuán,Cuatro Caminos,40.4531857138528,-3.6947164197414,Private room,40,1,108,1.79,2,216
Centro,Embajadores,40.4104744262741,-3.7020712054116,Entire home/apt,50,2,146,2.36,1,254
Centro,Embajadores,40.4087201905487,-3.6991911566874998,Entire home/apt,71,3,23,0.39,2,318
Chamartín,Ciudad Jardín,40.4493052074327,-3.6742427690711303,Private room,38,1,23,0.55,1,354
Centro,Cortes,40.4120517605837,-3.6954213794324304,Entire home/apt,115,2,124,2.1,1,92
Arganzuela,Palos de Moguer,40.403340336716106,-3.69649296470735,Private room,30,1,30,0.9,1,365
Tetuán,Almenara,40.4729329099573,-3.68944899774027,Entire home/apt,170,2,20,0.4,2,300
Centro,Embajadores,40.4094014763989,-3.70387427932962,Private room,25,2,91,1.46,1,350
Centro,Universidad,40.4272313922724,-3.70958895345536,Entire home/apt,55,3,65,3.37,3,125
Centro,Palacio,40.4208283537096,-3.71102135732741,Private room,39,2,89,4.58,3,104
Barajas,Timón,40.4713701939558,-3.58584231932669,Entire home/apt,57,2,73,7.47,1,95
Centro,Universidad,40.4247893176431,-3.70896111328353,Entire home/apt,70,1,37,0.61,2,18
Moncloa - Aravaca,Argüelles,40.4255290337735,-3.7133143855899102,Entire home/apt,119,4,11,0.36,51,325
Latina,Puerta del Angel,40.4120536723315,-3.72353458505995,Private room,18,1,11,0.18,1,0
Fuencarral - El Pardo,Pilar,40.472160821947,-3.7096995101233197,Private room,18,2,26,0.71,1,326
Moncloa - Aravaca,Argüelles,40.425443644141396,-3.71752292726694,Private room,25,4,19,0.32,25,0
Centro,Palacio,40.4195273670299,-3.71004344894459,Entire home/apt,65,3,19,0.32,1,234
Centro,Sol,40.41888663126021,-3.70115692602156,Entire home/apt,150,3,10,0.29,15,315
Retiro,Pacífico,40.4057308381887,-3.6739614517859702,Private room,20,1,26,0.44,9,148
Arganzuela,Acacias,40.40265895014029,-3.7037375888083197,Private room,22,4,101,1.8,3,348
Retiro,Estrella,40.407688717331794,-3.6695625315396203,Private room,19,2,137,2.3,3,95
Salamanca,Fuente del Berro,40.4225784527336,-3.6627460509909398,Private room,25,2,21,0.5,1,333
Arganzuela,Palos de Moguer,40.4044245873801,-3.69256054497452,Entire home/apt,70,4,21,0.35,1,273
Centro,Palacio,40.415926161806205,-3.7111779849217794,Entire home/apt,135,3,15,0.43,4,275
Latina,Puerta del Angel,40.4066874390984,-3.73672060081391,Private room,20,1,1,0.06,1,0
Puente de Vallecas,Palomeras Bajas,40.3800696999007,-3.6542770318890696,Private room,16,2,23,0.4,1,66
Centro,Justicia,40.425614776672894,-3.6986377187896204,Private room,70,3,3,0.05,15,260
Chamberí,Almagro,40.437589254885005,-3.69782636207766,Entire home/apt,50,3,151,2.46,1,199
Centro,Universidad,40.4218207381462,-3.7038877042197598,Entire home/apt,69,2,89,1.49,1,338
Centro,Sol,40.4145649286613,-3.70437376275824,Entire home/apt,77,10,15,0.31,51,301
Arganzuela,Palos de Moguer,40.4064234583016,-3.69509607478607,Entire home/apt,66,4,6,0.11,51,317
Retiro,Estrella,40.4078215917239,-3.6690429739860297,Private room,21,2,119,2.03,3,135
Retiro,Adelfas,40.4060605788085,-3.6688983739016403,Entire home/apt,76,4,4,0.13,1,280
Puente de Vallecas,Numancia,40.394849679376,-3.6611589779580496,Private room,18,2,32,0.54,1,363
Tetuán,Valdeacederas,40.465379054633104,-3.69765995549469,Entire home/apt,95,3,0,0.0,15,300
Centro,Palacio,40.4104279010728,-3.70943660470286,Entire home/apt,113,5,7,0.19,51,324
Salamanca,Goya,40.428226815181496,-3.67775872742832,Private room,23,2,55,0.91,2,239
Centro,Justicia,40.425509665374996,-3.6972403493456603,Entire home/apt,250,3,81,1.34,1,219
Centro,Palacio,40.409589348108,-3.71423352057954,Private room,285,1,1,0.03,2,365
Chamartín,Hispanoamérica,40.4531780785452,-3.67191312815013,Private room,48,2,46,0.77,1,354
Centro,Palacio,40.4128231555575,-3.70748686530656,Entire home/apt,65,4,2,0.04,51,290
Centro,Cortes,40.4113338315677,-3.6951969987389903,Entire home/apt,108,4,21,0.62,51,326
Centro,Embajadores,40.407808348477104,-3.70245117974073,Entire home/apt,65,2,146,2.4,1,302
Centro,Universidad,40.4248214726027,-3.7058152677278198,Entire home/apt,76,4,15,0.5,51,330
Centro,Sol,40.418371948176706,-3.7032085988423105,Entire home/apt,72,3,10,0.19,4,344
Centro,Justicia,40.4214648211306,-3.69940783744516,Private room,37,1,11,0.19,1,365
Tetuán,Cuatro Caminos,40.454825116356396,-3.69994042084558,Private room,25,7,3,0.07,2,263
Retiro,Ibiza,40.419178378873,-3.67421756873824,Entire home/apt,120,3,14,0.41,2,253
Centro,Embajadores,40.4119940815576,-3.70301096547282,Entire home/apt,65,5,7,0.12,2,215
Centro,Universidad,40.4296111747091,-3.7085102022189,Entire home/apt,110,3,122,2.09,1,261
Tetuán,Bellas Vistas,40.4479781684014,-3.7058915530795598,Entire home/apt,70,2,16,0.27,1,265
Centro,Universidad,40.423105089692996,-3.7048175317272403,Private room,25,10,14,0.24,1,170
Moncloa - Aravaca,Casa de Campo,40.429344553749104,-3.7222856365139,Private room,39,2,87,1.47,4,86
Chamartín,Prosperidad,40.4446224040239,-3.6730071884727202,Entire home/apt,95,3,4,0.1,1,138
Latina,Puerta del Angel,40.409986770869395,-3.72436621035618,Private room,20,2,7,0.17,9,345
Chamberí,Trafalgar,40.428974005400704,-3.69710571803869,Entire home/apt,30,3,7,0.12,1,0
Arganzuela,Palos de Moguer,40.4048436538125,-3.69913438720925,Entire home/apt,68,3,15,0.29,4,273
Centro,Universidad,40.4268650648976,-3.70319809916114,Private room,40,2,145,2.44,2,324
Centro,Cortes,40.4150194530252,-3.7006215994385805,Entire home/apt,76,4,10,0.25,51,312
Centro,Justicia,40.4211503440218,-3.6987229659043197,Entire home/apt,76,4,16,0.29,51,319
Centro,Sol,40.4166110026486,-3.7028232152595697,Entire home/apt,82,4,10,0.32,51,307
