Source,Target,Weight
537951506,1693796514,1
537951506,117724703,1
516464106,2949104511,1
262230432,503480566,1
213969309,1354277102,1
516464106,1657077212,1
214413743,162954907,1
353786894,31448115,1
353786894,485761371,1
516464106,431506415,1
262230432,315373823,1
213969309,21401466,1
516464106,10228272,1
213969309,331328358,1
394892872,29774933,1
213969309,16125042,1
537951506,326802887,1
537951506,314621827,1
394892872,964344902,1
516464106,2339429359,1
353786894,507672047,1
213969309,63525184,1
537951506,777194503413309440,1
213969309,50725573,1
262230432,432507102,1
507672047,163559269,1
537951506,5894372,1
214413743,343597241,1
516464106,343017633,1
516464106,406423824,1
394892872,514125323,1
394892872,44196397,1
516464106,2873763009,1
537951506,16240253,1
516464106,453974471,1
213969309,20659839,1
516464106,210775513,1
214413743,93552699,1
516464106,2827361663,1
353786894,994741592,1
214413743,82322622,1
537951506,2336701140,1
353786894,148720585,1
213969309,11661572,1
213969309,618406175,1
507672047,279792997,1
537951506,541456551,1
213969309,19248106,1
213969309,1903346809,1
214413743,210760850,1
262230432,489863358,1
507672047,33173981,1
213969309,708763718029598721,1
507672047,265483421,1
214413743,235910394,1
516464106,245556939,1
213969309,1646645065,1
516464106,52686916,1
537951506,2539190235,1
394892872,279457840,1
537951506,905527148,1
353786894,254033031,1
516464106,832189340,1
213969309,136361303,1
214413743,100312878,1
537951506,326653857,1
394892872,246772342,1
213969309,19923144,1
537951506,87541152,1
516464106,1413164712,1
902951244549038081,68674747,1
213969309,21200516,1
213969309,20693661,1
214413743,551050949,1
262230432,412659618,1
353786894,16539917,1
394892872,38485549,1
213969309,12044602,1
353786894,342036627,1
516464106,413858221,1
394892872,17020962,1
394892872,156606331,1
213969309,35586902,1
394892872,68674747,1
516464106,265352508,1
516464106,2966281167,1
537951506,243767283,1
353786894,231852352,1
394892872,29268463,1
213969309,2982001401,1
262230432,2674450344,1
353786894,249635607,1
902951244549038081,280926709,1
394892872,527526077,1
213969309,2318220141,1
262230432,472167838,1
537951506,484657858,1
516464106,161418822,1
902951244549038081,808341849085710336,1
394892872,21044208,1
353786894,185025162,1
394892872,14082692,1
516464106,466649242,1
394892872,4854457427,1
516464106,470336591,1
213969309,353786894,1
214413743,516464106,1
213969309,250588578,1
213969309,27260086,1
902951244549038081,796379897547456512,1
353786894,1143472657,1
516464106,115620324,1
214413743,315373823,1
213969309,188482191,1
213969309,23561980,1
537951506,83852999,1
213969309,848754907,1
516464106,1524109363,1
516464106,806108894560919552,1
516464106,268270621,1
353786894,2222976084,1
516464106,24672558,1
353786894,254122621,1
262230432,2633624624,1
262230432,1290686353907355648,1
394892872,82373678,1
213969309,801041894021144576,1
262230432,91062278,1
507672047,288477764,1
213969309,150009699,1
516464106,2984667909,1
516464106,2433230097,1
902951244549038081,394892872,1
213969309,6273552,1
214413743,45167544,1
214413743,493127463,1
262230432,249694071,1
516464106,759823321,1
537951506,156019856,1
353786894,34949757,1
213969309,739158284842729472,1
213969309,365071261,1
516464106,35727881,1
213969309,293007847,1
537951506,21200516,1
537951506,46114809,1
537951506,1581230341,1
516464106,3646374742,1
353786894,335196969,1
394892872,1132352346275700736,1
516464106,56652148,1
516464106,2390673350,1
516464106,24871896,1
213969309,726288434,1
214413743,318967677,1
537951506,2935653131,1
537951506,213969309,1
516464106,1152077958,1
902951244549038081,4501715657,1
262230432,1374017668114571265,1
262230432,48391223,1
213969309,8320242,1
213969309,1346180581,1
537951506,275020671,1
