Source,29774933,31209800,45843783,82724710,115044590,213969309,214413743,262230432,316989623,353786894,507672047,516464106,537951506,971608718
29774933,0,0,0,0,0,0,1,0,0,1,0,0,1,0
31209800,0,0,0,0,0,0,0,1,0,0,0,0,1,0
45843783,0,0,0,0,0,0,1,0,0,0,0,1,0,0
82724710,0,0,0,0,0,0,0,0,0,0,1,0,1,0
115044590,0,0,0,0,0,0,1,1,0,1,0,1,1,0
213969309,0,0,0,0,0,0,1,0,0,0,0,0,0,1
214413743,1,0,1,0,1,1,0,1,0,1,1,1,1,0
262230432,0,1,0,0,1,0,1,0,1,1,0,1,0,0
316989623,0,0,0,0,0,0,0,1,0,1,0,1,1,0
353786894,1,0,0,0,1,0,1,1,1,0,0,0,0,0
507672047,0,0,0,1,0,0,1,0,0,0,0,0,0,1
516464106,0,0,1,0,1,0,1,1,1,0,0,0,0,1
537951506,1,1,0,1,1,0,1,0,1,0,0,0,0,1
971608718,0,0,0,0,0,1,0,0,0,0,1,1,1,0
