Source,Target,Type,Id,Weight
537951506,716238475,Undirected,6970,1
213969309,188039706,Undirected,6094,1
353786894,188039706,Undirected,7582,1
353786894,437610627,Undirected,7306,1
262230432,248807431,Undirected,6362,1
537951506,248807431,Undirected,7706,1
353786894,138456571,Undirected,7253,1
537951506,138456571,Undirected,8899,1
214413743,68674747,Undirected,6186,1
214413743,21044208,Undirected,6201,1
214413743,370056930,Undirected,6269,1
214413743,82322622,Undirected,6414,1
214413743,235910394,Undirected,6428,1
214413743,315373823,Undirected,6486,1
214413743,318967677,Undirected,6528,1
214413743,217461138,Undirected,6585,1
214413743,22622572,Undirected,6625,1
214413743,262230432,Undirected,6645,1
214413743,111280097,Undirected,6672,1
214413743,226087776,Undirected,6685,1
214413743,249186003,Undirected,6809,1
214413743,35117415,Undirected,6835,1
214413743,197314637,Undirected,7015,1
214413743,321021481,Undirected,7148,1
214413743,21200516,Undirected,7325,1
214413743,17540485,Undirected,7467,1
214413743,970154557,Undirected,7653,1
214413743,45843783,Undirected,7757,1
214413743,40837929,Undirected,7788,1
214413743,41785723,Undirected,7841,1
214413743,69008563,Undirected,7971,1
214413743,41562632,Undirected,7980,1
214413743,97305237,Undirected,7983,1
214413743,24871896,Undirected,8001,1
214413743,195199790,Undirected,8081,1
214413743,29774933,Undirected,8137,1
214413743,28247294,Undirected,8182,1
214413743,55353207,Undirected,8217,1
214413743,87541152,Undirected,8237,1
214413743,115044590,Undirected,8425,1
214413743,20600235,Undirected,8446,1
214413743,170863272,Undirected,8454,1
214413743,1174486086,Undirected,8456,1
214413743,101485496,Undirected,8487,1
214413743,183310558,Undirected,8547,1
214413743,118921833,Undirected,8682,1
214413743,30969644,Undirected,8866,1
214413743,386420143,Undirected,8976,1
214413743,23440052,Undirected,9032,1
516464106,214413743,Undirected,6145,1
213969309,214413743,Undirected,6713,1
537951506,214413743,Undirected,6785,1
507672047,214413743,Undirected,7721,1
353786894,214413743,Undirected,8211,1
537951506,2336701140,Undirected,6415,1
353786894,2336701140,Undirected,7817,1
516464106,74153895,Undirected,8314,1
537951506,74153895,Undirected,8973,1
516464106,86221966,Undirected,6267,1
262230432,86221966,Undirected,8635,1
507672047,82724710,Undirected,6839,1
537951506,82724710,Undirected,6906,1
353786894,79412477,Undirected,7149,1
507672047,197314637,Undirected,6172,1
516464106,21044208,Undirected,6752,1
213969309,21044208,Undirected,7388,1
537951506,970154557,Undirected,6842,1
507672047,970154557,Undirected,7776,1
353786894,970154557,Undirected,8274,1
353786894,151398671,Undirected,7187,1
537951506,151398671,Undirected,8831,1
213969309,1903382054,Undirected,6105,1
516464106,45575696,Undirected,6093,1
537951506,45575696,Undirected,6745,1
262230432,45575696,Undirected,8449,1
353786894,219422455,Undirected,6821,1
507672047,14872237,Undirected,6208,1
507672047,169248299,Undirected,6286,1
507672047,516464106,Undirected,6607,1
507672047,318967677,Undirected,6640,1
507672047,116504344,Undirected,6647,1
507672047,217461138,Undirected,6693,1
507672047,23746926,Undirected,6779,1
507672047,426488154,Undirected,6786,1
507672047,125832497,Undirected,6812,1
507672047,3143321146,Undirected,6813,1
507672047,53053378,Undirected,6856,1
507672047,1337785291,Undirected,6861,1
507672047,50003640,Undirected,6996,1
507672047,971608718,Undirected,7027,1
507672047,41562632,Undirected,7077,1
507672047,179414795,Undirected,7083,1
507672047,1098828360,Undirected,7200,1
507672047,1121441719,Undirected,7204,1
507672047,55353207,Undirected,7351,1
507672047,501836993,Undirected,7383,1
507672047,479265563,Undirected,7665,1
507672047,57099808,Undirected,7771,1
